name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.3333333333333333,1.6666666666666667,1.0,0.26666666666666666,0.13333333333333336
Decision Tree Classifier,max_depth= 2,0.3333333333333333,1.6666666666666667,1.0,0.4666666666666666,0.1632993161855452
K-Nearest Neighbor,k= 1,0.3,1.6,1.0,0.36666666666666664,0.06666666666666668
K-Nearest Neighbor,k= 3,0.3333333333333333,1.6666666666666667,1.0,0.29999999999999993,0.06666666666666667
K-Nearest Neighbor,k= 5,0.36666666666666664,1.6333333333333333,0.9666666666666667,0.26666666666666666,0.0816496580927726
K-Nearest Neighbor,k= 7,0.3,1.8,1.0666666666666667,0.19999999999999998,0.1247219128924647
K-Nearest Neighbor,k= 9,0.3333333333333333,1.6666666666666667,1.0,0.16666666666666666,0.10540925533894598
K-Nearest Neighbor,k= 11,0.3,1.8,1.0666666666666667,0.26666666666666666,0.13333333333333336
K-Nearest Neighbor,k= 13,0.3333333333333333,1.6666666666666667,1.0,0.13333333333333333,0.1247219128924647
K-Nearest Neighbor,k= 15,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,0.10540925533894598
K-Nearest Neighbor,k= 17,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,0.18257418583505539
K-Nearest Neighbor,k= 19,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,0.14907119849998599
Naive Bayes Classifier,N/A,0.3333333333333333,1.6666666666666667,1.0,0.23333333333333334,0.16996731711975951
